X;Y;NAME;WILNAME;POP;FORMERBREE
4.834;36.668;Tubusuctu;Tubusuctu;10000;orbcities
30.528;39.814;Dorylaion;0;10000;orbcities
22.57;36.76;Gythion;0;10000;orbcities
9.135;36.341;Musti;Thubursicu B.;10000;orbcities
36.749;35.143;Epiphaneia;0;10000;orbcities
9.128;35.257;Sufetula;Sufetula;10000;orbcities
37.032;39.748;Sebasteia;0;10000;orbcities
35.042;42.049;Sinope;0;10000;orbcities
34.15;36.46;Corycus;0;10000;orbcities
5.394;36.192;Sitifis;Sitifis;10000;orbcities
8.596;34.986;Thelepte;Thelepte;10000;orbcities
6.472;35.503;Thamugadi;Thamugadi;10000;orbcities
30.čvc;36.894;Attalea;0;10000;orbcities
30.171;38.074;Apamea (Pisidia);0;10000;orbcities
26.35;36.55;Astypaleia;0;10000;orbcities
27.29;36.89;Kos;0;10000;orbcities
27.141;38.427;Smyrna;0;10000;orbcities
35.464;30.325;Petra;Petra;10000;orbcities
29.331;36.36;Xanthos;0;10000;orbcities
29.519;37.158;Cibyra;0;10000;orbcities
34.901;36.915;Tarsus;0;10000;orbcities
8.143;35.409;Theveste;Theveste;10000;orbcities
21.831;38.399;Naupactus;0;10000;orbcities
7.754;36.888;Hippo Regius;Hippo Regius;10000;orbcities
34.048;38.384;Archelais;0;10000;orbcities
4.809;44.137;Arausio;Arausio;10000;orbcities
30.856;36.967;Perge;0;10000;orbcities
34.458;31.51;Gaza;0;10000;orbcities
39.718;41.002;Trapezus;0;10000;orbcities
27.526;37.859;Magnesia;0;10000;orbcities
28.63;36.83;Caunus;0;10000;orbcities
22.416;39.639;Larissa;0;10000;orbcities
23.59;38.46;Chalcis;0;10000;orbcities
23.543;38.045;Eleusis;0;10000;orbcities
34.892;31.965;Lydda;0;10000;orbcities
36.203;34.014;Heliopolis (Baalbek);0;10000;orbcities
21.45;37.61;Alpheos (river);0;10000;orbcities
lis.16;35.23;Caput Vada;Acholla;10000;orbcities
25.844;40.161;Imbros;0;10000;orbcities
12.484;32.805;Sabratha;Sabratha;10000;orbcities
-5.798;35.792;Tingi;Tingi;10000;orbcities
26.94;37.69;Samos;0;10000;orbcities
6.681;49.761;Augusta Treverorum;Col. Augusta Treverorum;10000;orbcities
35.504;32.507;Scythopolis;0;10000;orbcities
34.999;29.531;Aelana;Aqaba;10000;orbcities
35.198;33.277;Tyrus;0;10000;orbcities
32.873;39.947;Ancyra;0;10000;orbcities
6.445;51.668;Ulpia Traiana Tricensimae;Col. Ulpia Traiana;10000;orbcities
13.174;32.897;Oea;Oea;10000;orbcities
38.146;40.151;Nicopolis (Pontus);0;10000;orbcities
34.252;31.289;Raphia;0;10000;orbcities
29.924;40.77;Nicomedia;0;10000;orbcities
34.65;31.srp;Azotus Paralios;0;10000;orbcities
35.077;32.926;Ake-Ptolemais;0;10000;orbcities
