X,Y,WHO,COLOR,HEADING,XCOR,YCOR,SHAPE,LABEL,LABELCOLOR,BREED,HIDDEN,SIZE,PENSIZE,PENMODE,NAME,WILNAME,POP,POPTYPE,FORMERBREE
6.912,36.885,863,9.9,72,-113.371530553364678,-14.49350058770142091,circle,,9.9,newsites,false,2.5819888974716112,1,up,Rusicade,Rusicade,10000,0,orbcities
7.983,36.29,864,9.9,237,-101.936763036022171,-20.84614920844723684,circle,,9.9,newsites,false,2.5819888974716112,1,up,Thagaste,Thagaste,10000,0,orbcities
30.804,27.778,865,9.9,333,141.716672550600578,-111.72639300641110083,circle,,9.9,newsites,false,4.9732618404155371,1,up,Hermopolis Magna,Hermopolis Magna,37100,0,orbcities
4.627,43.687,866,9.9,210,-137.767836601102857,58.12955137585004906,circle,,9.9,newsites,false,2.5819888974716112,1,up,Arelate,Arelate,10000,0,orbcities
24.472,43.707,867,9.9,24,74.111679161419801,58.34308578327011219,circle,,9.9,newsites,false,2.3094010767585029,1,up,Oescus,0,8000,0,orbcities
4.834,36.668,868,9.9,275,-135.557755484305574,-16.81034890820870942,circle,,9.9,newsites,false,2.5819888974716112,1,up,Tubusuctu,Tubusuctu,10000,0,orbcities
30.528,39.814,869,9.9,8,138.769897728204199,16.77861337896167981,circle,,9.9,newsites,false,2.5819888974716112,1,up,Dorylaion,0,10000,0,orbcities
22.57,36.76,870,9.9,64,53.804557015775138,-15.82809063407659522,circle,,9.9,newsites,false,2.5819888974716112,1,up,Gythion,0,10000,0,orbcities
9.135,36.341,871,9.9,266,-89.637181168628587,-20.30163646952614442,circle,,9.9,newsites,false,2.5819888974716112,1,up,Musti,Thubursicu B.,10000,0,orbcities
6.943,50.944,872,9.9,305,-113.040552221863635,135.61051110820721988,circle,,9.9,newsites,false,3.6514837167011076,1,up,Ara Agrippinensium,Col. Claudia Ara Agrippina,20000,0,orbcities
32.652,25.701,873,9.9,83,161.447251796211191,-133.90194121698095842,circle,,9.9,newsites,false,3.0550504633038935,1,up,Thebai,0,14000,0,orbcities
36.749,35.143,874,9.9,106,205.189775156203893,-33.09234747398581789,circle,,9.9,newsites,false,2.5819888974716112,1,up,Epiphaneia,0,10000,0,orbcities
16.097,38.675,875,9.9,212,-15.305853945716869,4.61782887639106310,circle,,9.9,newsites,false,3.1622776601683795,1,up,Vibo Valentia,0,15000,0,orbcities
16.37,45.482,876,9.9,311,-12.391109284433492,77.29426444179756572,circle,,9.9,newsites,false,2.0000000000000000,1,up,Siscia,Siscia,6000,0,orbcities
